18/12/2022 12:34:46PM | Item: R8 Revolver | Nitro (Field-Tested) | Float: 0.16931968927383423 | Price: 0.41 |
18/12/2022 12:34:53PM | Item: R8 Revolver | Nitro (Field-Tested) | Float: 0.15990886092185974 | Price: 0.41 |
18/12/2022 12:35:00PM | Item: R8 Revolver | Nitro (Field-Tested) | Float: 0.21550677716732025 | Price: 0.43 |
18/12/2022 12:35:10PM | Item: MAC-10 | Calf Skin (Field-Tested) | Float: 0.24175190925598145 | Price: 0.42 |
18/12/2022 12:35:15PM | Item: MAC-10 | Calf Skin (Field-Tested) | Float: 0.20123295485973358 | Price: 0.42 |
18/12/2022 12:40:24PM | Item: Tec-9 | Flash Out (Field-Tested) | Float: 0.15931184589862823 | Price: 0.37 |
18/12/2022 12:41:13PM | Item: SCAR-20 | Grotto (Field-Tested) | Float: 0.19784089922904968 | Price: 0.64 |
18/12/2022 12:41:44PM | Item: P250 | Ripple (Minimal Wear) | Float: 0.0857919454574585 | Price: 0.83 |
18/12/2022 12:41:57PM | Item: PP-Bizon | Jungle Slipstream (Minimal Wear) | Float: 0.119196318089962 | Price: 0.81 |
18/12/2022 03:02:43PM | Item: R8 Revolver | Nitro (Field-Tested) | Float: 0.22943967580795288 | Price: 0.43 |
18/12/2022 03:02:55PM | Item: MAC-10 | Calf Skin (Field-Tested) | Float: 0.17619211971759796 | Price: 0.43 |
18/12/2022 03:03:00PM | Item: MAC-10 | Calf Skin (Field-Tested) | Float: 0.22741439938545227 | Price: 0.43 |
18/12/2022 03:03:40PM | Item: Nova | Caged Steel (Minimal Wear) | Float: 0.07152878493070602 | Price: 0.87 |
18/12/2022 03:04:07PM | Item: Tec-9 | Flash Out (Field-Tested) | Float: 0.17567691206932068 | Price: 0.37 |
18/12/2022 03:05:02PM | Item: XM1014 | Quicksilver (Field-Tested) | Float: 0.2057734876871109 | Price: 0.64 |
18/12/2022 03:05:08PM | Item: XM1014 | Quicksilver (Field-Tested) | Float: 0.1648331880569458 | Price: 0.64 |
